num,best,mean,median,l25
1,0,0,0,0
2,1,0,0,0
3,0,2,0,0
4,1,1,0,0
5,1,1,1,0
6,1,1,1,1
7,1,1,1,1
8,2,1,1,1
9,2,2,1,1
10,2,2,1,1
11,3,2,1,1
12,3,2,2,1
13,4,3,1,1
14,5,3,2,2
15,4,3,2,2
16,5,3,2,1
17,5,3,3,2
18,5,4,2,2
19,6,4,4,3
20,6,4,3,3
21,6,4,4,2
22,7,5,5,3
23,8,5,3,3
24,7,5,4,4
25,9,5,6,3
26,7,5,4,5
27,8,5,5,4
28,9,5,6,3
29,9,6,5,4
30,11,7,5,4
31,10,7,7,5
32,9,7,5,4
33,11,8,6,5
34,13,5,8,4
35,13,9,9,5
36,12,7,7,5
37,14,7,7,5
38,13,7,8,5
39,12,8,11,7
40,13,10,7,5
41,12,8,8,7
42,15,9,10,6
43,14,9,7,6
44,15,8,8,6
45,17,10,9,6
46,15,8,11,7
47,17,9,9,7
48,18,10,8,8
49,18,11,10,7
50,15,9,9,9
51,17,9,13,7
52,18,9,15,8
53,21,11,13,7
54,16,11,11,8
55,19,13,12,6
56,16,12,12,7
57,20,11,13,8
58,17,12,17,8
59,19,13,11,8
60,19,11,12,11
61,20,10,13,8
62,20,14,14,10
63,21,12,16,9
64,25,11,17,10
65,23,11,16,10
66,25,12,14,9
67,23,13,13,10
68,24,10,17,9
69,23,13,18,10
70,27,13,17,9
71,21,13,19,13
72,24,12,14,12
73,27,15,15,10
74,26,14,15,11
75,26,14,18,11
76,26,13,17,11
77,31,15,21,11
78,27,14,22,10
79,32,16,18,16
80,32,15,15,11
81,31,16,20,12
82,30,18,22,11
83,26,15,16,12
84,30,15,19,13
85,25,18,18,12
86,31,13,21,11
87,32,14,20,14
88,26,14,21,12
89,33,16,22,18
90,34,16,18,13
91,33,14,23,14
92,35,18,21,13
93,31,21,21,13
94,31,19,19,14
95,31,18,21,14
96,37,19,24,16
97,32,17,22,17
98,29,17,22,17
99,31,21,25,15
100,35,19,27,17
