num,best,mean,median,l25
1,0,0,0,0
2,1,1,1,0
3,0,0,0,0
4,1,1,1,0
5,1,1,1,0
6,1,1,0,0
7,1,1,0,1
8,2,1,1,1
9,2,2,1,1
10,2,2,1,1
11,3,2,2,1
12,3,2,2,1
13,3,2,1,1
14,4,2,1,2
15,4,3,2,2
16,4,3,2,2
17,5,4,2,2
18,5,3,3,2
19,5,3,2,3
20,6,3,2,2
21,6,3,3,2
22,6,3,3,2
23,6,4,6,3
24,7,4,4,3
25,6,4,3,3
26,8,5,5,5
27,7,5,4,5
28,7,4,3,3
29,9,6,6,3
30,8,6,4,3
31,9,5,4,4
32,10,5,5,4
33,9,6,5,4
34,10,4,7,6
35,12,6,6,5
36,11,6,5,4
37,12,6,7,4
38,13,6,5,5
39,13,8,7,5
40,13,5,7,4
41,15,7,5,6
42,12,7,8,5
43,15,7,6,5
44,12,6,9,6
45,13,7,7,6
46,16,8,6,5
47,14,7,8,8
48,17,7,7,7
49,15,8,9,6
50,15,8,8,8
51,17,8,11,8
52,17,7,10,6
53,18,8,8,8
54,15,8,10,8
55,17,8,8,7
56,18,8,11,6
57,17,9,9,9
58,19,10,13,7
59,19,9,10,9
60,19,8,16,8
61,18,9,11,8
62,23,9,9,9
63,21,8,12,8
64,25,10,11,8
65,19,10,14,10
66,23,9,12,9
67,20,13,15,9
68,22,12,12,11
69,22,9,17,9
70,23,11,13,8
71,28,10,11,11
72,24,10,16,10
73,22,10,13,9
74,24,12,15,14
75,26,12,13,9
76,24,9,18,15
77,30,10,13,10
78,27,12,18,11
79,30,9,16,16
80,31,13,13,11
81,29,10,16,10
82,27,10,14,10
83,30,10,18,11
84,29,14,14,12
85,28,14,17,14
86,25,13,15,12
87,33,11,18,11
88,28,12,15,12
89,31,14,18,12
90,31,13,16,13
91,36,12,22,12
92,31,13,17,12
93,27,15,15,14
94,29,14,18,13
95,26,13,22,11
96,28,13,21,13
97,32,12,28,12
98,30,13,19,11
99,34,14,17,14
100,37,15,23,13
