num,best,mean,median,l25
1,0,0,0,0
2,1,1,1,0
3,1,1,0,0
4,1,1,0,0
5,1,1,1,1
6,2,1,1,1
7,2,2,1,1
8,2,2,1,1
9,3,2,1,1
10,3,2,2,2
11,4,2,2,2
12,4,2,2,2
13,4,3,2,2
14,4,3,3,2
15,4,2,3,2
16,5,3,3,2
17,6,3,3,3
18,6,3,4,3
19,7,4,4,3
20,6,4,4,3
21,8,4,4,4
22,7,4,4,4
23,9,4,5,4
24,8,3,5,5
25,9,4,5,3
26,10,3,5,3
27,9,4,5,4
28,9,4,6,4
29,9,4,6,4
30,12,5,6,4
31,12,4,7,4
32,11,4,7,5
33,11,4,7,5
34,15,5,7,5
35,13,6,8,5
36,14,5,8,5
37,13,5,7,6
38,14,5,8,6
39,15,5,9,6
40,13,6,8,6
41,15,6,9,6
42,16,6,9,6
43,16,5,9,7
44,17,6,10,7
45,17,5,10,8
46,18,5,10,5
47,16,6,10,8
48,18,6,11,6
49,19,6,11,9
50,20,6,11,9
51,19,6,11,9
52,17,6,11,9
53,16,6,11,9
54,18,5,12,11
55,17,6,12,10
56,19,6,12,9
57,20,7,12,9
58,24,7,12,11
59,20,6,12,7
60,22,8,13,8
61,25,8,13,12
62,25,6,13,12
63,21,7,13,11
64,21,8,14,8
65,25,7,14,8
66,24,8,15,13
67,27,10,16,9
68,27,7,14,9
69,25,8,15,9
70,23,7,14,10
71,26,8,16,10
72,25,7,16,10
73,23,8,17,10
74,31,7,15,10
75,31,8,16,10
76,31,6,17,10
77,26,8,16,11
78,29,8,16,11
79,28,8,16,11
80,30,7,19,11
81,30,9,18,11
82,29,9,18,11
83,35,7,18,12
84,32,9,18,11
85,30,8,19,11
86,36,7,19,12
87,31,8,20,12
88,32,8,19,13
89,37,9,20,12
90,34,9,21,12
91,32,8,20,13
92,30,11,20,13
93,32,9,21,13
94,32,8,20,13
95,27,8,20,12
96,33,8,21,13
97,30,9,22,13
98,30,9,22,14
99,33,12,22,14
100,35,10,21,13
