count	geneid	symbol	name	chr	orientation	start	end
1	100189342	TRV-TAC3-1	transfer RNA-Val (TAC) 3-1	10	-	5853710	5853782
2	100616181	MIR4514	microRNA 4514	15	-	80997416	80997472
203	55294	FBXW7	F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase	4	-	152321257	152536094
1	388795	EFCAB8	EF-hand calcium binding domain 8	20	+	32860994	32961844
34	617	BCS1L	BC1 (ubiquinol-cytochrome c reductase) synthesis-like	2	+	218659655	218663442
34	29986	SLC39A2	solute carrier family 39 (zinc transporter), member 2	14	+	20999254	21001874
4	729911	ANKRD34C-AS1	ANKRD34C antisense RNA 1	15	-	79191706	79283944
11	10536	LEPREL2	leprecan-like 2	12	+	6828372	6839853
9	81563	C1orf21	chromosome 1 open reading frame 21	1	+	184387015	184629020
93	29102	DROSHA	drosha, ribonuclease type III	5	-	31400493	31532174
45	55749	CCAR1	cell division cycle and apoptosis regulator 1	10	+	68721143	68792376
8	55063	ZCWPW1	zinc finger, CW type with PWWP domain 1	7	-	100400871	100429413
109	6625	SNRNP70	small nuclear ribonucleoprotein 70kDa (U1)	19	+	49085139	49108612
1	100151676	RNU7-79P	RNA, U7 small nuclear 79 pseudogene	15	-	85389829	85389882
1	100271481	RPL31P47	ribosomal protein L31 pseudogene 47	11	+	123051112	123051516
48	57534	MIB1	mindbomb E3 ubiquitin protein ligase 1	18	+	21740792	21870956
10	196385	DNAH10	dynein, axonemal, heavy chain 10	12	+	123761132	123935719
8	200765	TIGD1	tigger transposable element derived 1	2	-	232547969	232550589
1	100271059	RPS12P15	ribosomal protein S12 pseudogene 15	8	+	102503754	102504137
2	102465500	MIR6833	microRNA 6833	6	+	32179815	32179875
183	7080	NKX2-1	NK2 homeobox 1	14	-	36516396	36520224
1	804	CALM1P2	calmodulin 1 (phosphorylase kinase, delta) pseudogene 2	7	-	55259717	55260100
2	28891	IGKV1D-43	immunoglobulin kappa variable 1D-43	2	+	90210053	90210528
3	401507	FAM74A1	family with sequence similarity 74, member A1	9	+	39371064	39376915
1	100329108	GCSHP5	glycine cleavage system protein H pseudogene 5	1	-	168055358	168056492
10	89876	MAATS1	MYCBP-associated, testis expressed 1	3	+	119703021	119767101
1	100128266	RANP6	RAN, member RAS oncogene family pseudogene 6	4	-	173633530	173634414
2	100874167	LINC00423	long intergenic non-protein coding RNA 423	13	-	32809189	32911651
94	2520	GAST	gastrin	17	+	41712325	41715968
1	645644	FLJ42627	-	16	+	2638981	2646128
1	100130624	RPL15P22	ribosomal protein L15 pseudogene 22	22	-	26886844	26887580
88	3490	IGFBP7	insulin-like growth factor binding protein 7	4	-	57031070	57110384
3	286499	FAM133A	family with sequence similarity 133, member A	X	+	93673735	93712273
7	494326	MIR377	microRNA 377	14	+	101062049	101062117
23	9467	SH3BP5	SH3-domain binding protein 5 (BTK-associated)	3	-	15254352	15341393
21	79071	ELOVL6	ELOVL fatty acid elongase 6	4	-	110049072	110199198
79	10980	COPS6	COP9 signalosome subunit 6	7	+	100088959	100092199
27	57863	CADM3	cell adhesion molecule 3	1	+	159171586	159203141
5	28781	IGLV5-45	immunoglobulin lambda variable 5-45	22	+	22376013	22376504
28	5178	PEG3	paternally expressed 3	19	-	56810076	56840725
2	220070	SHANK2-AS3	SHANK2 antisense RNA 3	11	+	70862789	70865114
16	137682	NDUFAF6	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	8	+	94895450	95058715
23	50508	NOX3	NADPH oxidase 3	6	-	155395367	155455902
11	166968	MIER3	mesoderm induction early response 1, family member 3	5	-	56919601	56952129
15	79035	NABP2	nucleic acid binding protein 2	12	+	56222092	56229853
13	84552	PARD6G	par-6 family cell polarity regulator gamma	18	-	80157231	80247513
3	100033429	SNORD116-17	small nucleolar RNA, C/D box 116-17	15	+	25083586	25083679
8	285834	HCG22	HLA complex group 22	6	+	31053449	31059889
10	168391	GALNTL5	polypeptide N-acetylgalactosaminyltransferase-like 5	7	+	151956378	152019933
28	7259	TSPYL1	TSPY-like 1	6	-	116274858	116280116
10	139341	FUNDC1	FUN14 domain containing 1	X	-	44523638	44542974
50	11127	KIF3A	kinesin family member 3A	5	-	132689160	132737632
288	2243	FGA	fibrinogen alpha chain	4	-	154583127	154590744
12	133686	NADK2	NAD kinase 2, mitochondrial	5	-	36192588	36242278
16	3396	ICT1	immature colon carcinoma transcript 1	17	+	75012663	75021260
1	100874470	HMGN2P26	high mobility group nucleosomal binding domain 2 pseudogene 26	3	+	167958743	167959081
24	51690	LSM7	LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae)	19	-	2321520	2328614
25	8706	B3GALNT1	beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)	3	-	161083882	161105629
9	100132288	TEKT4P2	tektin 4 pseudogene 2	21	-	9068355	9129760
383	3627	CXCL10	chemokine (C-X-C motif) ligand 10	4	-	76021115	76023535
78	11059	WWP1	WW domain containing E3 ubiquitin protein ligase 1	8	+	86342735	86468264
41	10480	EIF3M	eukaryotic translation initiation factor 3, subunit M	11	+	32583766	32604497
3	100847034	MIR5683	microRNA 5683	6	+	6169333	6169408
10	84460	ZMAT1	zinc finger, matrin-type 1	X	-	101882287	101932134
30	5865	RAB3B	RAB3B, member RAS oncogene family	1	-	51907955	51990763
24	134957	STXBP5	syntaxin binding protein 5 (tomosyn)	6	+	147204357	147390475
1	100130618	LOC100130618	-	7	+	122159278	122162780
66	3658	IREB2	iron-responsive element binding protein 2	15	+	78438175	78501455
35	6482	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	8	-	133454847	133572453
22	26256	CABYR	calcium binding tyrosine-(Y)-phosphorylation regulated	18	+	24138955	24161599
61	6138	RPL15	ribosomal protein L15	3	+	23916803	23923695
21	54414	SIAE	sialic acid acetylesterase	11	-	124635788	124676302
4	10004	NAALADL1	N-acetylated alpha-linked acidic dipeptidase-like 1	11	-	65044817	65059020
1	100128710	RPL9P30	ribosomal protein L9 pseudogene 30	17	+	29855734	29856419
1	101929268	LOC101929268	-	8	+	48551566	48698509
23	494327	MIR378A	microRNA 378a	5	+	149732824	149732889
12	56137	PCDHA12	protocadherin alpha 12	5	+	140875301	141012343
14	9362	CPNE6	copine VI (neuronal)	14	+	24070836	24078099
12	137868	SGCZ	sarcoglycan, zeta	8	-	14089863	15238282
16	5681	PSKH1	protein serine kinase H1	16	+	67893271	67929677
4	138802	OR13C8	olfactory receptor, family 13, subfamily C, member 8	9	+	104569167	104570129
4	643904	RNF222	ring finger protein 222	17	-	8390703	8397832
35	10555	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	9	-	136673142	136687458
1	100270984	RPL31P15	ribosomal protein L31 pseudogene 15	2	+	182788072	182788474
23	51317	PHF21A	PHD finger protein 21A	11	-	45929318	46121433
7	57549	IGSF9	immunoglobulin superfamily, member 9	1	-	159927038	159945595
12	64901	RANBP17	RAN binding protein 17	5	+	170861881	171300449
32	5361	PLXNA1	plexin A1	3	+	126982118	127037391
23	50944	SHANK1	SH3 and multiple ankyrin repeat domains 1	19	-	50659263	50719782
